neighbourhood_code,space_heating_demand_per_house,hot_water_demand_per_house,space_heating_demand_per_m2_utility,hot_water_demand_per_m2_utility,electricity_demand_per_house,electricity_demand_per_m2_utility,share_of_houses_demolished,number_of_new_apartments,number_of_new_terraced_houses,number_of_new_detached_houses,number_of_new_semi_detached_houses,number_of_new_houses_unknown_type,epi_of_new_houses,size_of_new_houses,existing_heat_network_share,trace_length
BU03073001,21,7,0.161538462,0.053846154,111,0.853846154,0,0,0,0,0,0,0.9,100,0,6214.655446
BU03073100,45,2,0.346153846,0.015384615,1541,11.85384615,0,0,0,0,0,0,0.9,100,0,1225.694239
BU03073101,21,7,0.161538462,0.053846154,114,0.876923077,0,0,0,0,0,0,0.9,100,98,326.200501
BU03073102,27,8,0.207692308,0.061538462,10,0.076923077,0,0,0,0,0,0,0.9,100,0,4440.754378
BU03073103,19,7,0.146153846,0.053846154,10,0.076923077,0,0,0,0,0,0,0.9,100,0,9177.251715
BU03073104,0,0,0,0,0,0,0,0,0,0,0,0,0.9,100,0,0
BU03073108,59,9,0.453846154,0.069230769,10,0.076923077,0,0,0,0,0,0,0.9,100,0,4683.246737
BU03080000,42,6,0.323076923,0.046153846,324,2.492307692,0,0,0,0,0,0,0.9,100,0,6476.189624
BU03080001,43,8,0.330769231,0.061538462,115,0.884615385,0,0,0,0,0,0,0.9,100,0,4263.29794
BU03080002,50,8,0.384615385,0.061538462,216,1.661538462,0,0,0,0,0,0,0.9,100,0,5139.035377
BU03080003,38,8,0.292307692,0.061538462,114,0.876923077,0,0,0,0,0,0,0.9,100,0,7995.856475
BU03080004,38,8,0.292307692,0.061538462,111,0.853846154,0,0,0,0,0,0,0.9,100,0,8521.690419
BU03080005,29,7,0.223076923,0.053846154,114,0.876923077,0,0,0,0,0,0,0.9,100,0,9818.740763
BU03080006,50,8,0.384615385,0.061538462,11,0.084615385,0,0,0,0,0,0,0.9,100,0,3380.97371
BU03080007,36,5,0.276923077,0.038461538,324,2.492307692,0,0,0,0,0,0,0.9,100,0,3916.682095
BU03080100,34,5,0.261538462,0.038461538,333,2.561538462,0,0,0,0,0,0,0.9,100,0,10110.91076
BU03080101,29,7,0.223076923,0.053846154,111,0.853846154,0,0,0,0,0,0,0.9,100,0,9677.756147
BU03080102,28,7,0.215384615,0.053846154,115,0.884615385,0,0,0,0,0,0,0.9,100,0,5102.598629
BU03080103,36,6,0.276923077,0.046153846,319,2.453846154,0,0,0,0,0,0,0.9,100,0,11995.87143
BU03080104,27,8,0.207692308,0.061538462,10,0.076923077,0,0,0,0,0,0,0.9,100,0,9405.557853
BU03080105,31,8,0.238461538,0.061538462,10,0.076923077,0,0,0,0,0,0,0.9,100,0,8482.781838
BU03080109,54,7,0.415384615,0.053846154,516,3.969230769,0,0,0,0,0,0,0.9,100,0,4492.843223
BU03080200,68,7,0.523076923,0.053846154,320,2.461538462,0,0,0,0,0,0,0.9,100,0,10905.16872
BU03080201,48,7,0.369230769,0.053846154,217,1.669230769,0,0,0,0,0,0,0.9,100,0,4748.306361
BU03080400,51,4,0.392307692,0.030769231,1119,8.607692308,0,0,0,0,0,0,0.9,100,0,21039.08856
BU03080401,44,6,0.338461538,0.046153846,420,3.230769231,0,0,0,0,0,0,0.9,100,0,3452.62243
BU03080500,48,8,0.369230769,0.061538462,412,3.169230769,0,0,0,0,0,0,0.9,100,0,3244.684147
BU03080501,82,6,0.630769231,0.046153846,1216,9.353846154,0,0,0,0,0,0,0.9,100,0,5267.561594
BU03100101,49,8,0.376923077,0.061538462,112,0.861538462,0,0,0,0,0,0,0.9,100,0,7054.913051
BU03100102,48,8,0.369230769,0.061538462,217,1.669230769,0,0,0,0,0,0,0.9,100,0,7904.124151
BU03100201,42,8,0.323076923,0.061538462,413,3.176923077,0,0,0,0,0,0,0.9,100,0,12702.68943
BU03100202,50,7,0.384615385,0.053846154,319,2.453846154,0,0,0,0,0,0,0.9,100,0,8171.982264
BU03100301,33,7,0.253846154,0.053846154,113,0.869230769,0,0,0,0,0,0,0.9,100,0,24060.46047
BU03100302,58,4,0.446153846,0.030769231,635,4.884615385,0,0,0,0,0,0,0.9,100,0,3289.60569
BU03100303,74,4,0.569230769,0.030769231,638,4.907692308,0,0,0,0,0,0,0.9,100,0,9597.736234
BU03100401,44,7,0.338461538,0.053846154,219,1.684615385,0,0,0,0,0,0,0.9,100,0,10706.55032
BU03100402,51,7,0.392307692,0.053846154,318,2.446153846,0,0,0,0,0,0,0.9,100,0,19309.74501
BU03100505,27,7,0.207692308,0.053846154,113,0.869230769,0,0,0,0,0,0,0.9,100,0,21658.56866
BU03100601,54,8,0.415384615,0.061538462,112,0.861538462,0,0,0,0,0,0,0.9,100,0,19594.47503
BU03100602,53,6,0.407692308,0.046153846,219,1.684615385,0,0,0,0,0,0,0.9,100,0,17724.91472
BU03100603,80,5,0.615384615,0.038461538,827,6.361538462,0,0,0,0,0,0,0.9,100,0,14247.13486
BU03100701,34,6,0.261538462,0.046153846,121,0.930769231,0,0,0,0,0,0,0.9,100,0,16021.39025
BU03100702,43,8,0.330769231,0.061538462,111,0.853846154,0,0,0,0,0,0,0.9,100,0,2774.389288
BU03100703,48,3,0.369230769,0.023076923,1433,11.02307692,0,0,0,0,0,0,0.9,100,0,1471.674243
BU03100801,53,5,0.407692308,0.038461538,427,3.284615385,0,0,0,0,0,0,0.9,100,0,17040.33515
BU03100802,30,6,0.230769231,0.046153846,216,1.661538462,0,0,0,0,0,0,0.9,100,0,17182.58659
BU03100803,28,0,0.215384615,0,634,4.876923077,0,0,0,0,0,0,0.9,100,0,1920.581026
BU03100901,33,7,0.253846154,0.053846154,113,0.869230769,0,0,0,0,0,0,0.9,100,0,17091.52512
BU03100902,45,1,0.346153846,0.007692308,531,4.084615385,0,0,0,0,0,0,0.9,100,0,2619.060163
BU03100903,49,7,0.376923077,0.053846154,215,1.653846154,0,0,0,0,0,0,0.9,100,0,11755.12674
BU03101001,36,6,0.276923077,0.046153846,114,0.876923077,0,0,0,0,0,0,0.9,100,0,17977.90713
